time,Bx_target,By_target,Bz_target,Bx_meas,By_meas,Bz_meas,PWM_base_x,PWM_base_y,PWM_base_z,PWM_x,PWM_y,PWM_z,err_x,err_y,err_z
1775730611.4007592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.4507418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.5008395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.550774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.6007407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.6507695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.7007627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.7507284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.8007276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.8507948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.9007647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730611.950741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.000735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.0507257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.1007388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.1507657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.2007294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.2507446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.3007488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.3507447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.4007645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.450758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.5007355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.5507557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.6007304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.6507473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.7007427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.7507405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.8007433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.8507402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.9007363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730612.950744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.0007312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.0507364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.1007423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.150745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.2007363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.2507498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775730613.3007615,0.0,0.0,0.0,-138.45,-0.9,-91.96,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.9,91.96
1775730613.3507707,0.0,0.0,0.0,-138.45,-0.9,-91.96,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.9,91.96
1775730613.4007773,0.0,0.0,0.0,-138.45,-0.9,-91.96,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.9,91.96
1775730613.4507828,0.0,0.0,0.0,-138.45,-0.9,-91.96,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.9,91.96
1775730613.5007966,0.0,0.0,0.0,-138.6,-0.45,-91.234,0.0,0.0,0.0,0.0,0.0,0.0,138.6,0.45,91.234
1775730613.550753,0.0,0.0,0.0,-138.6,-0.45,-91.234,0.0,0.0,0.0,0.0,0.0,0.0,138.6,0.45,91.234
1775730613.600755,0.0,0.0,0.0,-138.6,-0.45,-91.234,0.0,0.0,0.0,0.0,0.0,0.0,138.6,0.45,91.234
1775730613.6507256,0.0,0.0,0.0,-138.6,-0.45,-91.234,0.0,0.0,0.0,0.0,0.0,0.0,138.6,0.45,91.234
1775730613.7006829,0.0,0.0,0.0,-138.6,-1.2,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.6,1.2,91.718
1775730613.7507439,0.0,0.0,0.0,-138.6,-1.2,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.6,1.2,91.718
1775730613.8007607,0.0,0.0,0.0,-138.6,-1.2,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.6,1.2,91.718
1775730613.8507464,0.0,0.0,0.0,-138.6,-1.2,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.6,1.2,91.718
1775730613.9007561,0.0,0.0,0.0,-138.6,-1.2,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.6,1.2,91.718
1775730613.9507923,0.0,0.0,0.0,-138.45,-0.3,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.3,91.718
1775730614.000815,0.0,0.0,0.0,-138.45,-0.3,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.3,91.718
1775730614.050743,0.0,0.0,0.0,-138.45,-0.3,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.3,91.718
1775730614.1007483,0.0,0.0,0.0,-138.45,-0.3,-91.718,0.0,0.0,0.0,0.0,0.0,0.0,138.45,0.3,91.718
1775730614.1507473,0.0,0.0,0.0,-137.85,-0.75,-91.476,0.0,0.0,0.0,0.0,0.0,0.0,137.85,0.75,91.476
1775730614.2007515,0.0,0.0,0.0,-137.85,-0.75,-91.476,0.0,0.0,0.0,0.0,0.0,0.0,137.85,0.75,91.476
1775730614.250756,0.0,0.0,0.0,-137.85,-0.75,-91.476,0.0,0.0,0.0,0.0,0.0,0.0,137.85,0.75,91.476
1775730614.3007505,0.0,0.0,0.0,-137.85,-0.75,-91.476,0.0,0.0,0.0,0.0,0.0,0.0,137.85,0.75,91.476
1775730614.350746,0.0,0.0,0.0,-137.7,-0.75,-91.476,0.0,0.0,0.0,0.0,0.0,0.0,137.7,0.75,91.476
1775730614.4007435,0.0,0.0,0.0,-137.7,-0.75,-91.476,0.0,0.0,0.0,0.0,0.0,0.0,137.7,0.75,91.476
