time,Bx_target,By_target,Bz_target,Bx_meas,By_meas,Bz_meas,PWM_base_x,PWM_base_y,PWM_base_z,PWM_x,PWM_y,PWM_z,err_x,err_y,err_z
1775643130.35655,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.4064388,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.456414,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.506467,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.556528,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.6064494,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.6564562,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.7064838,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.7564638,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.8064673,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.8564134,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.9065266,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643130.9565418,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.0064552,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.0564406,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.1064363,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.1564782,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.2064867,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.2564366,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.306462,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.3564274,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.406443,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.4564567,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.5064566,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.5564857,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.6064684,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.656522,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.7064967,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.7564857,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.8064733,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.8564737,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.9065056,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643131.9564676,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643132.0064158,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643132.056471,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643132.1065276,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643132.1564217,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643132.206493,0.0,0.0,0.0,-123.6,75.9,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.14
1775643132.2564926,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643132.3065906,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643132.3565693,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643132.4065688,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643132.4565158,0.0,0.0,0.0,-124.2,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,124.2,-76.5,41.382
1775643132.5065768,0.0,0.0,0.0,-124.2,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,124.2,-76.5,41.382
1775643132.556564,0.0,0.0,0.0,-124.2,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,124.2,-76.5,41.382
1775643132.6065736,0.0,0.0,0.0,-124.2,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,124.2,-76.5,41.382
1775643132.6564777,0.0,0.0,0.0,-123.75,76.05,-42.108,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,42.108
1775643132.706584,0.0,0.0,0.0,-123.75,76.05,-42.108,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,42.108
1775643132.7565794,0.0,0.0,0.0,-123.75,76.05,-42.108,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,42.108
1775643132.8065705,0.0,0.0,0.0,-123.75,76.05,-42.108,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,42.108
1775643132.8565698,0.0,0.0,0.0,-123.75,76.05,-42.108,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,42.108
1775643132.9065852,0.0,0.0,0.0,-123.75,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.866
1775643132.9566019,0.0,0.0,0.0,-123.75,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.866
1775643133.0065513,0.0,0.0,0.0,-123.75,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.866
1775643133.0565345,0.0,0.0,0.0,-123.75,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.866
1775643133.1065032,0.0,0.0,0.0,-123.75,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,41.382
1775643133.1565654,0.0,0.0,0.0,-123.75,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,41.382
1775643133.2065547,0.0,0.0,0.0,-123.75,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,41.382
1775643133.2565637,0.0,0.0,0.0,-123.75,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.05,41.382
1775643133.3065197,0.0,0.0,0.0,-123.6,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.2,41.624
1775643133.3565905,0.0,0.0,0.0,-123.6,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.2,41.624
1775643133.4065561,0.0,0.0,0.0,-123.6,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.2,41.624
1775643133.4565833,0.0,0.0,0.0,-123.6,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.2,41.624
1775643133.506508,0.0,0.0,0.0,-123.9,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.624
1775643133.5565736,0.0,0.0,0.0,-123.9,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.624
1775643133.6065702,0.0,0.0,0.0,-123.9,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.624
1775643133.6565633,0.0,0.0,0.0,-123.9,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.624
1775643133.7065332,0.0,0.0,0.0,-123.9,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.624
1775643133.7565656,0.0,0.0,0.0,-123.9,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.624
1775643133.8065739,0.0,0.0,0.0,-123.9,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.624
1775643133.8565364,0.0,0.0,0.0,-123.9,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.624
1775643133.9065742,0.0,0.0,0.0,-123.9,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.624
1775643133.9565597,0.0,0.0,0.0,-123.9,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.9,41.624
1775643134.00658,0.0,0.0,0.0,-123.9,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.9,41.624
1775643134.0565467,0.0,0.0,0.0,-123.9,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.9,41.624
1775643134.1065507,0.0,0.0,0.0,-123.9,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.9,41.624
1775643134.156559,0.0,0.0,0.0,-123.6,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.382
1775643134.2065766,0.0,0.0,0.0,-123.6,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.382
1775643134.2565546,0.0,0.0,0.0,-123.6,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.382
1775643134.3065703,0.0,0.0,0.0,-123.6,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-75.9,41.382
1775643134.356496,0.0,0.0,0.0,-123.45,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-75.9,41.382
1775643134.4065735,0.0,0.0,0.0,-123.45,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-75.9,41.382
1775643134.4565516,0.0,0.0,0.0,-123.45,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-75.9,41.382
1775643134.506849,0.0,0.0,0.0,-123.45,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-75.9,41.382
1775643134.5565653,0.0,0.0,0.0,-123.45,75.9,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-75.9,41.382
1775643134.6065714,0.0,0.0,0.0,-123.9,75.6,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.6,41.866
1775643134.6565428,0.0,0.0,0.0,-123.9,75.6,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.6,41.866
1775643134.706575,0.0,0.0,0.0,-123.9,75.6,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.6,41.866
1775643134.7565799,0.0,0.0,0.0,-123.9,75.6,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-75.6,41.866
1775643134.8068542,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643134.856568,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643134.90658,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643134.9565644,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643135.0065155,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643135.0565796,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643135.1065524,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643135.15659,0.0,0.0,0.0,-123.45,76.35,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.35,41.624
1775643135.206577,0.0,0.0,0.0,-123.9,76.2,-42.592,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,42.592
1775643135.2565782,0.0,0.0,0.0,-123.9,76.2,-42.592,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,42.592
1775643135.3065796,0.0,0.0,0.0,-123.9,76.2,-42.592,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,42.592
1775643135.35659,0.0,0.0,0.0,-123.9,76.2,-42.592,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,42.592
1775643135.406481,0.0,0.0,0.0,-123.45,76.05,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.14
1775643135.4565802,0.0,0.0,0.0,-123.45,76.05,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.14
1775643135.5066612,0.0,0.0,0.0,-123.45,76.05,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.14
1775643135.5565746,0.0,0.0,0.0,-123.45,76.05,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.14
1775643135.606583,0.0,0.0,0.0,-123.45,76.05,-41.14,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.14
1775643135.656542,0.0,0.0,0.0,-123.75,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.2,41.624
1775643135.7065566,0.0,0.0,0.0,-123.75,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.2,41.624
1775643135.756538,0.0,0.0,0.0,-123.75,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.2,41.624
1775643135.8065822,0.0,0.0,0.0,-123.75,76.2,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.2,41.624
1775643135.8565245,0.0,0.0,0.0,-123.45,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.382
1775643135.9065716,0.0,0.0,0.0,-123.45,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.382
1775643135.9565368,0.0,0.0,0.0,-123.45,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.382
1775643136.0065787,0.0,0.0,0.0,-123.45,76.05,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.382
1775643136.056513,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643136.1065695,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643136.1568608,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643136.2065685,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643136.256475,0.0,0.0,0.0,-124.05,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,124.05,-75.9,41.624
1775643136.3065546,0.0,0.0,0.0,-124.05,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,124.05,-75.9,41.624
1775643136.3565667,0.0,0.0,0.0,-124.05,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,124.05,-75.9,41.624
1775643136.4065864,0.0,0.0,0.0,-124.05,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,124.05,-75.9,41.624
1775643136.4565551,0.0,0.0,0.0,-124.05,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,124.05,-75.9,41.624
1775643136.5065718,0.0,0.0,0.0,-123.9,76.05,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.05,41.866
1775643136.5566225,0.0,0.0,0.0,-123.9,76.05,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.05,41.866
1775643136.6066184,0.0,0.0,0.0,-123.9,76.05,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.05,41.866
1775643136.6565394,0.0,0.0,0.0,-123.9,76.05,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.05,41.866
1775643136.7065802,0.0,0.0,0.0,-123.6,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.35,41.866
1775643136.7568724,0.0,0.0,0.0,-123.6,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.35,41.866
1775643136.8065882,0.0,0.0,0.0,-123.6,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.35,41.866
1775643136.8565629,0.0,0.0,0.0,-123.6,76.35,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.6,-76.35,41.866
1775643136.906521,0.0,0.0,0.0,-123.75,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.624
1775643136.95656,0.0,0.0,0.0,-123.75,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.624
1775643137.0068545,0.0,0.0,0.0,-123.75,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.624
1775643137.0565593,0.0,0.0,0.0,-123.75,75.9,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.624
1775643137.1065025,0.0,0.0,0.0,-123.9,76.2,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.382
1775643137.1565685,0.0,0.0,0.0,-123.9,76.2,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.382
1775643137.2065775,0.0,0.0,0.0,-123.9,76.2,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.382
1775643137.2565753,0.0,0.0,0.0,-123.9,76.2,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.382
1775643137.306788,0.0,0.0,0.0,-123.9,76.2,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.2,41.382
1775643137.356567,0.0,0.0,0.0,-123.3,76.65,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.3,-76.65,41.382
1775643137.406879,0.0,0.0,0.0,-123.3,76.65,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.3,-76.65,41.382
1775643137.4565415,0.0,0.0,0.0,-123.3,76.65,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.3,-76.65,41.382
1775643137.5065756,0.0,0.0,0.0,-123.3,76.65,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.3,-76.65,41.382
1775643137.5565727,0.0,0.0,0.0,-123.9,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.382
1775643137.6065655,0.0,0.0,0.0,-123.9,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.382
1775643137.656545,0.0,0.0,0.0,-123.9,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.382
1775643137.7065494,0.0,0.0,0.0,-123.9,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.9,-76.35,41.382
1775643137.7565212,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643137.8065872,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643137.856536,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643137.9065547,0.0,0.0,0.0,-123.75,76.5,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.5,41.382
1775643137.9564915,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643138.0065746,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643138.0565517,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643138.1065698,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643138.1565409,0.0,0.0,0.0,-123.45,76.05,-41.624,0.0,0.0,0.0,0.0,0.0,0.0,123.45,-76.05,41.624
1775643138.2065845,0.0,0.0,0.0,-123.75,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.382
1775643138.2565641,0.0,0.0,0.0,-123.75,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.382
1775643138.3065627,0.0,0.0,0.0,-123.75,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.382
1775643138.356551,0.0,0.0,0.0,-123.75,76.35,-41.382,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-76.35,41.382
1775643138.4065857,0.0,0.0,0.0,-123.75,75.9,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.866
1775643138.456566,0.0,0.0,0.0,-123.75,75.9,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.866
1775643138.5065699,0.0,0.0,0.0,-123.75,75.9,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.866
1775643138.5566075,0.0,0.0,0.0,-123.75,75.9,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.75,-75.9,41.866
1775643138.6065192,0.0,0.0,0.0,-123.3,76.2,-41.866,0.0,0.0,0.0,0.0,0.0,0.0,123.3,-76.2,41.866
