-255.0,0.0,0.0,0.0
-250.0,0.0,0.0,0.0
-240.0,0.0,0.0,0.0
-230.0,0.0,0.0,0.0
-220.0,0.0,0.0,0.0
-210.0,0.0,0.0,0.0
-200.0,0.0,0.0,0.0
-190.0,0.0,0.0,0.0
-180.0,0.0,0.0,0.0
-170.0,0.0,0.0,0.0
-160.0,0.0,0.0,0.0
-150.0,0.0,0.0,0.0
-140.0,0.0,0.0,0.0
-130.0,0.0,0.0,0.0
-120.0,0.0,0.0,0.0
-110.0,0.0,0.0,0.0
-100.0,0.0,0.0,0.0
-90.0,0.0,0.0,0.0
-80.0,0.0,0.0,0.0
-70.0,0.0,0.0,0.0
-60.0,0.0,0.0,0.0
-50.0,0.0,0.0,0.0
-40.0,0.0,0.0,0.0
-30.0,0.0,0.0,0.0
-20.0,0.0,0.0,0.0
-10.0,-9.73,0.0,0.0
0.0,0.29,0.0,0.0
10.0,10.44,0.0,0.0
20.0,19.84,0.0,0.0
30.0,29.02,0.0,0.0
40.0,38.35,0.0,0.0
50.0,47.65,0.0,0.0
60.0,56.96,0.0,0.0
70.0,66.1,0.0,0.0
80.0,75.32,0.0,0.0
90.0,84.59,0.0,0.0
100.0,93.74,0.0,0.0
110.0,102.91,0.0,0.0
120.0,112.04,0.0,0.0
130.0,121.09,0.0,0.0
140.0,129.78,0.0,0.0
150.0,138.84,0.0,0.0
160.0,147.54,0.0,0.0
170.0,156.58,0.0,0.0
180.0,165.25,0.0,0.0
190.0,174.01,0.0,0.0
200.0,182.68,0.0,0.0
210.0,191.26,0.0,0.0
220.0,199.64,0.0,0.0
230.0,208.12,0.0,0.0
240.0,216.47,0.0,0.0
250.0,224.63,0.0,0.0
255.0,228.29,0.0,0.0
